Provincia,Nyusi,Simango ,Ossufo,Mario,Total
Cabo Delgado,1679,75,1132,22,2908
Gaza,3918,208,229,61,4416
Manica,9911,400,2741,47,13099
Maputo City,5477,576,1674,38,7765
Maputo,4400,451,1804,20,6675
Nampula,3322,169,2737,75,6303
Sofala,9421,1837,3202,120,14580
Zambezia,10183,1026,6427,75,17711
