Provincia,FRELIMO,MDM,RENAMO,AMUSI,Total
Cabo Delgado,1587,72,1129,14,2802
Gaza,3443,100,160,0,3703
Manica,9391,407,2832,27,12657
Maputo City,4851,516,2071,14,7452
Maputo,3731,445,2285,9,6470
Nampula,2897,172,2708,82,5859
Sofala,8714,2067,3122,37,13940
Zambezia,8949,960,6816,48,16773
